{{Mod
|id                               = MaximumEnduranceChargeUber1
|mod_groups                       = MaximumEnduranceCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 84
|name                             = of Shaping
|mod_type                         = MaximumEnduranceCharges
|stat_text                        = +1 to Maximum [[Endurance Charge|Endurance Charges]]
|stat1_id                         = max_endurance_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = 2h_mace_shaper
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = 2h_sword_shaper
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = 2h_axe_shaper
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = staff_shaper
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = warstaff_shaper
|spawn_weight5_value              = 1000
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = endurance_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
