{{Mod
|id                               = WeaponTreeMinionAddedChaos5
|mod_groups                       = MinionAddedChaosDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 85
|mod_type                         = WeaponTreeMinionAddedChaosDamage
|stat_text                        = [[Minion|Minions]] deal 21 to 33 additional [[Chaos Damage]]
|stat1_id                         = minion_global_minimum_added_chaos_damage
|stat1_min                        = 21
|stat1_max                        = 21
|stat2_id                         = minion_global_maximum_added_chaos_damage
|stat2_min                        = 33
|stat2_max                        = 33
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 630
|spawn_weight3_tag                = minion_unique_weapon
|spawn_weight3_value              = 630
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
}}
