{{Mod
|id                               = SocketedVaalGemsIncreaseCorrupted
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = LocalIncreaseSocketedVaalGemLevel
|stat_text                        = +(1-2) to [[Level]] of [[Item socket|Socketed]] Vaal Gems
|stat1_id                         = local_socketed_vaal_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 2
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 0
|spawn_weight3_tag                = boots
|spawn_weight3_value              = 0
|spawn_weight4_tag                = body_armour
|spawn_weight4_value              = 0
|spawn_weight5_tag                = shield
|spawn_weight5_value              = 0
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = vaal, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
