{{Mod
|id                               = MinionOnlyDealColdDamageUnique__1
|mod_groups                       = MinionOnlyDealColdDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionOnlyDealColdDamage
|stat_text                        = [[Minion|Minions]] deal no Non-Cold Damage
|stat1_id                         = minion_deal_no_non_cold_damage
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
