{{Mod
|id                               = GlobalChanceToBlindOnHitInfluence2_
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of Redemption
|mod_groups                       = BlindOnHit
|mod_type                         = GlobalChanceToBlindOnHit
|game_mode                        = 0
|stat_text                        = (12-15)% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 12
|stat1_max                        = 15
|spawn_weight1_tag                = gloves_eyrie
|spawn_weight1_value              = 500
|spawn_weight2_tag                = quiver_eyrie
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = influence_mod
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
