{{Passive skill
|id                                  = affliction_notable_deadly_repartee
|int_id                              = 1478
|name                                = Deadly Repartee
|is_notable                          = True
|icon                                = DualWieldingDamage
|stat1_id                            = attack_skills_damage_+%_while_dual_wielding
|stat1_value                         = 25
|stat2_id                            = block_while_dual_wielding_%
|stat2_value                         = 5
|stat3_id                            = critical_strike_chance_while_dual_wielding_+%
|stat3_value                         = 30
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 25% increased Damage while [[Dual Wield|Dual Wielding]]<br>+5% Chance to [[Block]] [[Attack Damage]] while [[Dual Wield|Dual Wielding]]<br>30% increased [[Attack]] [[Critical Strike Chance]] while [[Dual Wield|Dual Wielding]]
}}
