{{Passive skill
|id                                  = affliction_notable_remarkable
|int_id                              = 59307
|name                                = Remarkable
|is_notable                          = True
|icon                                = BrandDmgNotable
|stat1_id                            = cast_speed_for_brand_skills_+%
|stat1_value                         = 8
|stat2_id                            = create_additional_brand_%_chance
|stat2_value                         = 35
|stat_text                           = 8% increased [[Cast Speed]] with Brand [[Skill|Skills]]<br>[[Skill|Skills]] which create Brands have 35% chance to create an additional Brand
}}
