{{Mod
|id                               = DamageLeechWith5ChargesUnique__1
|mod_groups                       = LifeLeech
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = DamageLeechWith5Charges
|stat_text                        = 0.5% of Damage Leeched as [[Life]] while you have at least 5 total Endurance, [[Frenzy]] and [[Power Charge|Power Charges]]
|stat1_id                         = life_leech_from_any_damage_permyriad_with_at_least_5_total_power_frenzy_endurance_charges
|stat1_min                        = 50
|stat1_max                        = 50
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
