{{Mod
|id                               = AddedLightningDamageUnique__4
|mod_groups                       = SpecificWeaponLightningDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedLightningDamageWithWandsForUnique
|stat_text                        = (12-18) to (231-347) Added [[Lightning Damage]] with [[Wand]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_lightning_damage_with_wand
|stat1_min                        = 12
|stat1_max                        = 18
|stat2_id                         = attack_maximum_added_lightning_damage_with_wand
|stat2_min                        = 231
|stat2_max                        = 347
|tags                             = elemental_damage, damage, elemental, lightning, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
