{{Mod
|id                               = AfflictionJewelSmallPassivesGrantES3
|mod_groups                       = AfflictionJewelSmallPassivesGrantES
|domain                           = 21
|generation_type                  = 1
|required_level                   = 84
|name                             = Glowing
|mod_type                         = AfflictionJewelSmallPassivesGrantES
|stat_text                        = Added Small Passive [[Skill|Skills]] also grant: +(10-12) to Maximum [[Energy Shield]]
|stat1_id                         = local_affliction_jewel_small_nodes_grant_maximum_energy_shield
|stat1_min                        = 10
|stat1_max                        = 12
|spawn_weight1_tag                = expansion_jewel_large
|spawn_weight1_value              = 300
|spawn_weight2_tag                = expansion_jewel_medium
|spawn_weight2_value              = 300
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = defences, energy_shield
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
