{{Mod
|id                               = SanctumSpecialShockProliferation
|mod_groups                       = ShockProliferation
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Conducting
|mod_type                         = ShockProliferation
|stat_text                        = [[Shock|Shocks]] you inflict spread to other Enemies within 1.6 metres
|stat1_id                         = gloves_shock_proliferation_radius
|stat1_min                        = 16
|stat1_max                        = 16
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 200
|spawn_weight2_tag                = default
|spawn_weight2_value              = 50
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
