{{Mod
|id                               = PhysicalDamageWhileDualWieldingUber3
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of the Elder
|mod_groups                       = DualWieldingPhysicalDamage
|mod_type                         = DualWieldingPhysicalDamage
|game_mode                        = 0
|stat_text                        = (33-37)% increased Physical [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|stat1_id                         = physical_damage_while_dual_wielding_+%
|stat1_min                        = 33
|stat1_max                        = 37
|spawn_weight1_tag                = sword_elder
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = axe_elder
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = mace_elder
|spawn_weight3_value              = 1000
|spawn_weight4_tag                = claw_elder
|spawn_weight4_value              = 1000
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
|generation_weight1_tag           = attack_dagger
|generation_weight1_value         = 100
|generation_weight2_tag           = dagger
|generation_weight2_value         = 50
|generation_weight3_tag           = warstaff
|generation_weight3_value         = 100
|generation_weight4_tag           = staff
|generation_weight4_value         = 50
|generation_weight5_tag           = sceptre
|generation_weight5_value         = 50
|generation_weight6_tag           = wand
|generation_weight6_value         = 50
|generation_weight7_tag           = default
|generation_weight7_value         = 100
|tags                             = physical_damage, influence_mod, damage, physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
