{{Base item
|rarity_id                               = normal
|name                                    = The Academic
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Such dedication for so many years,<br>all for a couple extra letters at the front of your name..."
|drop_level                              = 38
|tags                                    = jewellery_divination, unique_divination, unique_jewellery_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheAcademic
|stack_size                              = 8
|description                             = {{c|unique|{{il|html=|Inspired Learning}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
