{{Mod
|id                               = ProjectileDamageUber2
|mod_groups                       = ProjectileDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = The Shaper's
|granted_skill                    = SupportSlowerProjectiles
|mod_type                         = ProjectileDamageSupported
|stat_text                        = (19-22)% increased Projectile Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Slower Projectiles Support|Level 18 Slower Projectiles]]
|stat1_id                         = projectile_damage_+%
|stat1_min                        = 19
|stat1_max                        = 22
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_slower_projectiles
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = gloves_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
