{{Mod
|id                               = MinionLifeRegenerationUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MinionLifeRegeneration
|mod_type                         = MinionLifeRegeneration
|game_mode                        = 0
|stat_text                        = [[Minion|Minions]] Regenerate 1% of [[Life]] per second
|stat1_id                         = minion_life_regeneration_rate_per_minute_%
|stat1_min                        = 60
|stat1_max                        = 60
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
