{{Passive skill
|id                                  = steel_skin1275
|int_id                              = 42009
|name                                = Soul of Steel
|is_notable                          = True
|icon                                = armourmastery
|stat1_id                            = physical_damage_reduction_rating_+%
|stat1_value                         = 30
|stat2_id                            = additional_maximum_all_elemental_resistances_%
|stat2_value                         = 1
|stat3_id                            = base_physical_damage_reduction_rating
|stat3_value                         = 150
|stat_text                           = 30% increased [[Armour]]<br>+1% to all maximum [[Elemental Resistance|Elemental Resistances]]<br>+150 to [[Armour]]
|connections                         = armour93,mastery_armour10
}}
