{{Passive skill
|id                                  = AscendancyCustomElementalist15
|int_id                              = 2380
|name                                = Herald Damage and Buff Effect
|ascendancy_class                    = Elementalist
|icon                                = HeraldBuffEffectNode2
|stat1_id                            = damage_+%_with_herald_skills
|stat1_value                         = 10
|stat2_id                            = herald_effect_on_self_+%
|stat2_value                         = 5
|stat_text                           = Herald [[Skill|Skills]] deal 10% increased Damage<br>5% increased Effect of Herald Buffs on you
}}
