{{Mod
|id                               = LocalLifeLeechIsInstantUniqueClaw3
|mod_groups                       = LocalLifeLeechIsInstant
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalLifeLeechIsInstant
|stat_text                        = [[Life]] [[Leech]] from [[Hit|Hits]] with this Weapon is instant
|stat1_id                         = local_life_leech_is_instant
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
