{{Passive skill
|id                                  = bleeding_node_2951
|int_id                              = 36764
|name                                = Bleed and Critical Strike Chance
|icon                                = Blood2
|stat1_id                            = bleed_on_hit_with_attacks_%
|stat1_value                         = 10
|stat2_id                            = attack_critical_strike_chance_+%
|stat2_value                         = 15
|stat_text                           = [[Attack|Attacks]] have 10% chance to cause Bleeding<br>15% increased [[Critical Strike Chance]] for [[Attack|Attacks]]
|connections                         = bleeding_notable_2952,bleeding_node_2948,bleeding_notable_2952
}}
