{{Mod
|id                               = ElementalDamagePerPowerChargeUber1
|mod_groups                       = ElementalDamagePerPowerCharge
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ElementalDamagePerPowerCharge
|stat_text                        = 5% increased [[Elemental Damage]] per [[Power Charge|Power charge]]
|stat1_id                         = elemental_damage_+%_per_power_charge
|stat1_min                        = 5
|stat1_max                        = 5
|spawn_weight1_tag                = sceptre_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
