{{Mod
|id                               = ProjectileDamageUber3
|mod_groups                       = ProjectileDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 83
|name                             = The Shaper's
|granted_skill                    = SupportSlowerProjectiles
|mod_type                         = ProjectileDamageSupported
|stat_text                        = (23-25)% increased Projectile Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Slower Projectiles Support|Level 20 Slower Projectiles]]
|stat1_id                         = projectile_damage_+%
|stat1_min                        = 23
|stat1_max                        = 25
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_slower_projectiles
|stat2_min                        = 20
|stat2_max                        = 20
|spawn_weight1_tag                = gloves_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
