{{Mod
|id                               = HellscapeDownsideFlaskChargesGained3__
|mod_groups                       = BeltFlaskCharges
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_type                         = BeltIncreasedFlaskChargesGained
|stat_text                        = (40-32)% reduced Flask [[Charge|Charges]] gained
|stat1_id                         = charges_gained_+%
|stat1_min                        = -40
|stat1_max                        = -32
|spawn_weight1_tag                = belt
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
