{{Base item
|rarity_id                               = normal
|name                                    = The Forward Gaze
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "When they realize our true intent, they will decry us, assault us, and try to crush what we have built. We must stand tall, Qotra, and make the future our own."
|drop_level                              = 50
|tags                                    = unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheForwardGaze
|stack_size                              = 6
|description                             = {{c|unique|Replica Item}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
