{{Mod
|id                               = IzaroPhysicalDamageAndBleedBuff2
|mod_groups                       = MonsterDamage
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AddedPhysicalDamageAndBleed
|stat_text                        = 20% increased Global [[Physical Damage]] (Hidden)<br>[[Attack|Attacks]] cause Bleeding (Hidden)
|stat1_id                         = physical_damage_+%
|stat1_min                        = 20
|stat1_max                        = 20
|stat2_id                         = global_bleed_on_hit
|stat2_min                        = 1
|stat2_max                        = 1
|tags                             = physical_damage, bleed, damage, physical, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
