{{Base item
|rarity_id                               = normal
|name                                    = Gift Wrapping Paper
|class_id                                = Microtransaction
|size_x                                  = 2
|size_y                                  = 2
|tags                                    = not_for_sale, default
|metadata_id                             = Metadata/Items/MicrotransactionItemEffects/MicrotransactionGiftWrappingPaper
|stack_size                              = 1
|description                             = Gift wrap an item, which can then be dropped on the ground for anyone to collect.
|help_text                               =  Click this item, then left click the item you wish to gift wrap.
}}
