{{Mod
|id                               = SupportedByGreaterVolleyUnique__1
|mod_groups                       = SupportedByGreaterVolley
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportGreaterVolley
|mod_type                         = SupportedByGreaterVolley
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 20 Greater Volley
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_greater_volley
|stat1_min                        = 20
|stat1_max                        = 20
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
