{{Mod
|id                               = SpellCriticalStrikeChanceUniqueDagger1
|mod_groups                       = SpellCriticalStrikeChanceIncrease
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellCriticalStrikeChance
|stat_text                        = (80-100)% increased [[Critical Strike Chance]] for [[Spell|Spells]]
|stat1_id                         = spell_critical_strike_chance_+%
|stat1_min                        = 80
|stat1_max                        = 100
|tags                             = caster, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
