{{Passive skill
|id                                  = stun_ignore_str_dex1678
|int_id                              = 8135
|name                                = Practical Application
|is_notable                          = True
|icon                                = castavoidinterruption
|stat1_id                            = avoid_interruption_while_casting_%
|stat1_value                         = 25
|stat2_id                            = base_strength_and_dexterity
|stat2_value                         = 20
|stat3_id                            = base_resist_all_elements_%
|stat3_value                         = 10
|stat_text                           = 25% chance to Ignore Stuns while Casting<br>+20 to [[Strength]] and [[Dexterity]]<br>+10% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = stun_ignore1680,stun_ignore1679
}}
