{{Passive skill
|id                                  = sword_damage_evasion1933
|int_id                              = 43514
|name                                = Sword Accuracy and Critical Strike Chance
|icon                                = damagesword
|stat1_id                            = sword_critical_strike_chance_+%
|stat1_value                         = 20
|stat2_id                            = sword_accuracy_rating_+%
|stat2_value                         = 6
|stat_text                           = 20% increased [[Critical Strike Chance]] with [[Sword|Swords]]<br>6% increased [[Accuracy Rating]] with [[Sword|Swords]]
|connections                         = sword_damage1069,sword_damage_speed_evasion_notable1932
}}
