{{Mod
|id                               = HellscapeDownsideReducedMinionLife3_
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 25
|required_level                   = 68
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (39-36)% reduced maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = -39
|stat1_max                        = -36
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
