{{Passive skill
|id                                  = AscendancyCustomChampion20
|int_id                              = 11127
|name                                = Life Regeneration and Aura Effect
|ascendancy_class                    = Champion
|icon                                = MeleeAoENode
|stat1_id                            = life_regeneration_rate_per_minute_%
|stat1_value                         = 30
|stat2_id                            = non_curse_aura_effect_+%
|stat2_value                         = 5
|stat_text                           = Regenerate 0.5% of [[Life]] per second<br>5% increased effect of Non-Curse Auras from your [[Skill|Skills]]
}}
