{{Base item
|rarity_id                               = normal
|name                                    = Rebirth and Renewal
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Life has an end, then life begins again.
|drop_level                              = 68
|tags                                    = divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardRebirthAndRenewal
|stack_size                              = 4
|description                             = {{c|currency|Winged Scarab}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
