{{Mod
|id                               = WeaponTreeSpellAddedChaos2h3
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 31
|required_level                   = 44
|mod_type                         = WeaponTreeSpellAddedChaosDamage
|stat_text                        = Adds 10 to 17 [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 10
|stat1_max                        = 10
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 17
|stat2_max                        = 17
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = caster_unique_weapon
|spawn_weight2_value              = 250
|spawn_weight3_tag                = attack_staff
|spawn_weight3_value              = 0
|spawn_weight4_tag                = staff
|spawn_weight4_value              = 250
|spawn_weight5_tag                = default
|spawn_weight5_value              = 0
}}
