{{Mod
|id                               = AnimalCharmChaosExplode1
|domain                           = 35
|generation_type                  = 1
|required_level                   = 70
|name                             = Occultist's
|mod_groups                       = AnimalCharmChaosExplode
|mod_type                         = AnimalCharmChaosExplode
|game_mode                        = 0
|stat_text                        = Cursed Enemies you or your [[Minion|Minions]] [[Kill]] have a (6-10)% chance to Explode, dealing a quarter of their maximum [[Life]] as [[Chaos Damage]]
|stat1_id                         = explode_cursed_enemies_for_25%_life_as_chaos_on_kill_chance_%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
