{{Passive skill
|id                                  = affliction_notable_renewal
|int_id                              = 58949
|name                                = Renewal
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = minion_chance_to_deal_double_damage_while_on_full_life_%
|stat1_value                         = 5
|stat2_id                            = minion_life_regeneration_rate_per_minute_%
|stat2_value                         = 60
|stat_text                           = [[Minion|Minions]] have 5% chance to deal Double Damage while they are on [[Full Life]]<br>[[Minion|Minions]] Regenerate 1% of [[Life]] per second
}}
