{{Passive skill
|id                                  = affliction_notable_fasting
|int_id                              = 5075
|name                                = Fasting
|is_notable                          = True
|icon                                = FlaskDuration
|stat1_id                            = charges_gained_+%
|stat1_value                         = 20
|stat2_id                            = movement_speed_+%_while_not_using_flask
|stat2_value                         = 10
|stat_text                           = 20% increased Flask [[Charge|Charges]] gained<br>10% increased [[Movement Speed]] while under no Flask Effects
}}
