{{Mod
|id                               = AbyssAttacksTauntOnHitChanceJewel1
|mod_groups                       = TauntOnHit
|domain                           = 13
|generation_type                  = 2
|required_level                   = 32
|name                             = of Taunting
|mod_type                         = AttacksTauntOnHitChance
|stat_text                        = (3-5)% chance to Taunt Enemies on [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = attacks_chance_to_taunt_on_hit_%
|stat1_min                        = 3
|stat1_max                        = 5
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
