{{Mod
|id                               = DamageTakenFlatReductionCorrupted3
|mod_groups                       = PhysicalAttackDamageTaken
|domain                           = 1
|generation_type                  = 5
|required_level                   = 60
|mod_type                         = PhysicalAttackDamageTaken
|stat_text                        = -(24-17) [[Physical Damage]] taken from [[Attack]] [[Hit|Hits]]
|stat1_id                         = physical_attack_damage_taken_+
|stat1_min                        = -24
|stat1_max                        = -17
|spawn_weight1_tag                = amulet
|spawn_weight1_value              = 0
|spawn_weight2_tag                = shield
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
