{{Mod
|id                               = BestiaryModSquidAura1
|mod_groups                       = BestiaryMod20
|domain                           = 3
|generation_type                  = 13
|required_level                   = 20
|name                             = Deep One's Presence
|granted_buff_id                  = bestiary_cold_squid_aura
|granted_buff_value               = 50
|mod_type                         = BestiaryMod20
|stat_text                        = 50% increased maximum [[Life]] (Hidden)<br>Gain 60% of [[Physical Damage]] as Extra [[Lightning Damage]] (Hidden)<br>25% Global chance to Blind Enemies on [[Hit|hit]] (Hidden)
|stat1_id                         = maximum_life_+%
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = physical_damage_%_to_add_as_lightning
|stat2_min                        = 60
|stat2_max                        = 60
|stat3_id                         = global_chance_to_blind_on_hit_%
|stat3_min                        = 25
|stat3_max                        = 25
|spawn_weight1_tag                = bestiary_deep
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, elemental_damage, resource, life, damage, physical, elemental, lightning
}}
