{{Mod
|id                               = PhysicalDamageFromBeastsUniqueBodyDex6
|mod_groups                       = PhysicalDamageFromBeasts
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalDamageFromBeasts
|stat_text                        = -(50-40) [[Physical Damage]] taken from [[Hit|Hits]] by Animals
|stat1_id                         = physical_damage_taken_+_vs_beasts
|stat1_min                        = -50
|stat1_max                        = -40
|tags                             = physical
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
