{{Mod
|id                               = PoisonOnMeleeHitProphecy
|mod_groups                       = PoisonOnMeleeHit
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PoisonOnMeleeHit
|stat_text                        = Melee [[Attack|Attacks]] [[Poison]] on [[Hit]] (Hidden)
|stat1_id                         = chance_to_poison_on_melee_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = poison, chaos, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
