{{Passive skill
|id                                  = acrobatics1136
|int_id                              = 54307
|name                                = Acrobatics
|flavour_text                        = Light and unadorned, like wind on water, you will be.
|is_keystone                         = True
|icon                                = KeystoneAcrobatics
|stat1_id                            = keystone_acrobatics
|stat1_value                         = 1
|stat_text                           = Modifiers to Chance to Suppress [[Spell Damage]] instead apply to Chance to [[Dodge]] [[Spell]] [[Hit|Hits]] at 50% of their value<br />Maximum Chance to [[Dodge]] [[Spell]] [[Hit|Hits]] is 75%
|connections                         = dexterity866
}}
