{{Mod
|id                               = SocketedActiveGemLevelInfluence1
|mod_groups                       = IncreaseSkillGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 80
|name                             = Warlord's
|mod_type                         = LocalIncreaseSocketedActiveSkillGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Skill]] Gems
|stat1_id                         = local_socketed_active_skill_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = body_armour_adjudicator
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
