{{Mod
|id                               = IncreasedAttackSpeedUberMaven
|mod_groups                       = IncreasedAttackSpeed
|domain                           = 1
|generation_type                  = 2
|required_level                   = 92
|name                             = of the Elevated Elder
|granted_skill                    = SupportFasterAttack
|mod_type                         = IncreasedAttackSpeedSupported
|stat_text                        = (13-14)% increased [[Attack Speed]]<br>[[Item socket|Socketed]] Gems are Supported by [[Faster Attacks Support|Level 25 Faster Attacks]]
|stat1_id                         = attack_speed_+%
|stat1_min                        = 13
|stat1_max                        = 14
|stat2_id                         = local_display_socketed_gems_get_faster_attacks_level
|stat2_min                        = 25
|stat2_max                        = 25
|spawn_weight1_tag                = gloves_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, attack, speed, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
