{{Passive skill
|id                                  = bow_damage_and_speed502
|int_id                              = 12948
|name                                = Bow Critical Strike Chance and Multiplier
|icon                                = criticalbow
|stat1_id                            = bow_critical_strike_chance_+%
|stat1_value                         = 18
|stat2_id                            = bow_critical_strike_multiplier_+
|stat2_value                         = 12
|stat_text                           = 18% increased [[Critical Strike Chance]] with [[Bow|Bows]]<br>+12% to [[Critical Strike Multiplier]] with [[Bow|Bows]]
|connections                         = bow_damage_and_speed499,bow_damage_and_speed496
}}
