{{Mod
|id                               = MinionLargerAggroRadiusUnique__1
|mod_groups                       = MinionLargerAggroRadius
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionLargerAggroRadius
|stat_text                        = [[Minion|Minions]] are Aggressive
|stat1_id                         = minion_larger_aggro_radius
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
