{{Mod
|id                               = IntMasterCurseDurationCrafted
|mod_groups                       = CurseDuration
|domain                           = 9
|generation_type                  = 1
|required_level                   = 40
|name                             = of Hexing
|mod_type                         = CurseDuration
|stat_text                        = [[Curse]] [[Skill|Skills]] have (30-50)% increased [[Skill]] Effect Duration
|stat1_id                         = curse_skill_effect_duration_+%
|stat1_min                        = 30
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
