{{Mod
|id                               = SynthesisImplicitFireGemQuality1
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_type                         = SocketedFireGemQuality
|stat_text                        = +(2-3)% to Quality of [[Item socket|Socketed]] Fire Gems
|stat1_id                         = local_socketed_fire_gem_quality_+
|stat1_min                        = 2
|stat1_max                        = 3
|tags                             = gem
}}
