{{Mod
|id                               = MapMonsterPowerUniqueMap7
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapMonsterPower
|mod_type                         = MapMonsterPower
|game_mode                        = 0
|stat_text                        = Monsters gain 3 [[Power Charge|Power Charges]] every 20 seconds
|stat1_id                         = map_monsters_gain_x_power_charges_every_20_seconds
|stat1_min                        = 3
|stat1_max                        = 3
|tags                             = power_charge
}}
