{{Mod
|id                               = LocalFlaskChargesUsedUniqueFlask9
|mod_groups                       = LocalFlaskChargesUsed
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = LocalFlaskChargesUsed
|stat_text                        = (70-100)% increased [[Charge|Charges]] per use
|stat1_id                         = local_charges_used_+%
|stat1_min                        = 70
|stat1_max                        = 100
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
