{{Passive skill
|id                                  = minion_life_resists2633
|int_id                              = 31103
|name                                = Minion Life and Physical Damage Reduction
|icon                                = minionlife
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 8
|stat2_id                            = minion_additional_physical_damage_reduction_%
|stat2_value                         = 8
|stat_text                           = [[Minion|Minions]] have 8% increased maximum [[Life]]<br>[[Minion|Minions]] have 8% additional [[Physical Damage]] Reduction
|connections                         = minion_life_resists_notable2634,minion_life_resists2631,minion_life_resists_notable2634
}}
