{{Mod
|id                               = NecropolisHinder2
|mod_groups                       = NecropolisHinder
|domain                           = 36
|generation_type                  = 34
|required_level                   = 14
|mod_type                         = NecropolisHinder
|stat_text                        = 50% chance to Hinder Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_hinder_on_hit_%
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = monster_necropolis_mod_value_+%
|stat2_min                        = 40
|stat2_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 400
}}
