{{Mod
|id                               = NecromanticAegisUniqueHelmetStrDex5
|mod_groups                       = NecromanticAegis
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = NecromanticAegis
|stat_text                        = All bonuses from an Equipped [[Shield]] apply to your [[Minion|Minions]] instead of you
|stat1_id                         = minions_get_shield_stats_instead_of_you
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 8
}}
