{{Mod
|id                               = FasterIgniteDamageUnique__1
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 3
|required_level                   = 20
|mod_type                         = FasterIgniteDamage
|stat_text                        = [[Ignite|Ignites]] you inflict deal Damage (35-45)% faster
|stat1_id                         = faster_burn_%
|stat1_min                        = 35
|stat1_max                        = 45
|tags                             = elemental_damage, damage, elemental, fire, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
