{{Passive skill
|id                                  = affliction_notable_veteran_defender
|int_id                              = 23989
|name                                = Veteran Defender
|is_notable                          = True
|icon                                = BlockAttackDmgNotable
|stat1_id                            = additional_all_attributes
|stat1_value                         = 15
|stat2_id                            = shield_armour_+%
|stat2_value                         = 60
|stat3_id                            = resist_all_elements_+%_while_holding_shield
|stat3_value                         = 15
|stat_text                           = +15 to all Attributes<br>60% increased Defences from Equipped [[Shield]]<br>+15% [[Elemental Resistance|Elemental Resistances]] while holding a [[Shield]]
}}
