{{Mod
|id                               = SpellAddedPhysicalDamageHybridDelve
|mod_groups                       = SpellAddedPhysicalDamageHybrid
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = SpellAddedPhysicalDamageHybrid
|stat_text                        = Adds (11-15) to (23-26) [[Physical Damage]] to [[Spell|Spells]]<br>(20-40)% increased Global [[Physical Damage]]
|stat1_id                         = spell_minimum_added_physical_damage
|stat1_min                        = 11
|stat1_max                        = 15
|stat2_id                         = spell_maximum_added_physical_damage
|stat2_min                        = 23
|stat2_max                        = 26
|stat3_id                         = physical_damage_+%
|stat3_min                        = 20
|stat3_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, caster_damage, damage, physical, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
