{{Mod
|id                               = MinimumPowerChargeInfluence2
|mod_groups                       = MinimumPowerCharges
|domain                           = 1
|generation_type                  = 2
|required_level                   = 80
|name                             = of the Crusade
|mod_type                         = MinimumPowerCharges
|stat_text                        = +2 to Minimum [[Power Charge|Power Charges]]
|stat1_id                         = base_minimum_power_charges
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = shield_crusader
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = power_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
