{{Mod
|id                               = BeltFlaskLifeRecoveryUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = BeltFlaskRecovery
|mod_type                         = BeltFlaskLifeRecovery
|game_mode                        = 0
|stat_text                        = (30-40)% increased [[Life]] Recovery from [[Flask|Flasks]]
|stat1_id                         = flask_life_to_recover_+%
|stat1_min                        = 30
|stat1_max                        = 40
|tags                             = flask, resource, life
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
