{{Mod
|id                               = WeaponTreeSupportEmpower2H
|mod_groups                       = WeaponTreeSupportEmpower
|domain                           = 1
|generation_type                  = 32
|required_level                   = 38
|granted_skill                    = SupportAdditionalLevel
|mod_type                         = WeaponTreeSupportEmpower
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Empower Support|Level 3 Empower]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_empower
|stat1_min                        = 3
|stat1_max                        = 3
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
