{{Mod
|id                               = SynthesisImplicitMinionLife1_
|mod_groups                       = MinionLife
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (7-9)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 7
|stat1_max                        = 9
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
