{{Passive skill
|id                                  = bleeding_notable1954
|int_id                              = 26294
|name                                = Bloodletting
|is_notable                          = True
|icon                                = Blood2
|stat1_id                            = base_aggravate_bleeding_on_attack_hit_chance_%
|stat1_value                         = 10
|stat2_id                            = bleeding_dot_multiplier_+
|stat2_value                         = 15
|stat_text                           = 10% chance to Aggravate Bleeding on targets you [[Hit]] with [[Attack|Attacks]]<br>+15% to Damage over Time Multiplier for Bleeding
|connections                         = melee_bleeding_chance1953,mastery_bleeding81,mastery_bleeding81,melee_bleeding_chance1953,physical_damage_over_time1951
}}
