{{Mod
|id                               = EinharMasterSpellAddedFireDamage2
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 50
|name                             = Upgraded
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (21-28) to (42-49) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 21
|stat1_max                        = 28
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 42
|stat2_max                        = 49
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
