{{Mod
|id                               = WeaponTreeBowGemLevel
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 31
|required_level                   = 10
|mod_type                         = WeaponTreeLocalIncreaseSocketedBowGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] [[Bow]] Gems
|stat1_id                         = local_socketed_bow_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = bow
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
}}
