{{Passive skill
|id                                  = armour91
|int_id                              = 7162
|name                                = Armour and Elemental Resistances
|icon                                = dmgreduction
|stat1_id                            = physical_damage_reduction_rating_+%
|stat1_value                         = 10
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 5
|stat_text                           = 10% increased [[Armour]]<br>+5% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = armour93,strength820,armour93
}}
